------------------------------------------------------------------------------------
log file for recomend system \\ script made by Dmitry Chapliuk 
[2014-03-14 11:28:05] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): bk3-300 Client_ID: null
[2014-03-14 11:31:33] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): wt20-20-175 Client_ID: 136351046.1391692857
[2014-03-14 11:41:01] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): sarc205case Client_ID: null
[2014-03-14 13:09:29] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 700005041 Client_ID: null
[2014-03-14 13:09:30] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 126416R150 Client_ID: null
[2014-03-14 13:09:30] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 126432R150 Client_ID: null
[2014-03-14 13:09:30] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): ER535632 Client_ID: null
[2014-03-14 13:09:30] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 180432R120 Client_ID: null
[2014-03-14 13:09:30] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 700002203 Client_ID: null
[2014-03-14 13:09:30] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): ER308l085 Client_ID: null
[2014-03-14 13:09:30] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 700005006 Client_ID: null
[2014-03-14 13:09:31] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 700653532 Client_ID: null
[2014-03-14 13:11:40] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): R65-18 Client_ID: null
[2014-03-14 13:11:40] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): kragired Client_ID: null
[2014-03-14 15:11:46] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): btig315pacdc Client_ID: null
[2014-03-14 15:11:46] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): bcooler Client_ID: null
[2014-03-14 15:11:47] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): brnippel Client_ID: null
[2014-03-14 15:11:47] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): regu30kr Client_ID: null
[2014-03-14 15:11:47] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): bacdc Client_ID: null
[2014-03-14 15:11:47] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): wl20-20-175 Client_ID: null
[2014-03-14 15:11:47] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): wl20-30-175 Client_ID: null
[2014-03-14 15:11:47] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): wc20-20-175 Client_ID: null
[2014-03-14 15:11:47] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): bsr171826-20 Client_ID: null
[2014-03-14 15:11:47] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): bsr171826-32 Client_ID: null
[2014-03-14 15:11:47] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): derb20 Client_ID: null
[2014-03-14 15:11:47] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): derb32 Client_ID: null
[2014-03-14 15:11:48] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): sopbr4 Client_ID: null
[2014-03-14 15:11:48] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): sopbr5 Client_ID: null
[2014-03-14 15:11:48] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): sopbr6 Client_ID: null
[2014-03-14 15:11:48] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): sopbr7 Client_ID: null
[2014-03-14 15:11:48] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): ER04324 Client_ID: null
[2014-03-14 15:11:48] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): ER535620 Client_ID: null
[2014-03-14 15:11:48] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): ER308L20 Client_ID: null
[2014-03-14 15:14:04] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): R65-3 Client_ID: null
[2014-03-14 15:14:04] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): shas-2fg Client_ID: null
[2014-03-14 15:14:05] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): barselozs1230 Client_ID: null
[2014-03-14 15:14:43] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): R65-6 Client_ID: null
[2014-03-14 15:14:43] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): kragired Client_ID: null
[2014-03-14 15:23:15] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): WHS 220 DDC Client_ID: null
[2014-03-14 15:23:15] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 14053 Client_ID: null
[2014-03-14 15:24:13] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 61002150 Client_ID: 1228562556.1389249305
[2014-03-14 15:25:05] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 14053 Client_ID: null
[2014-03-14 15:48:43] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 6403230n Client_ID: 2053191877.1390544986
[2014-03-14 15:48:43] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 6603204 Client_ID: 2053191877.1390544986
[2014-03-14 15:48:43] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): br70s-10-15 Client_ID: 2053191877.1390544986
[2014-03-14 16:16:33] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): redbointecmig205 Client_ID: 670337608.1392178987
[2014-03-14 16:22:17] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): R63-6-4 Client_ID: 639566086.1392618952
[2014-03-14 16:51:03] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): R63-6-33 Client_ID: null
[2014-03-14 17:04:10] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): regu40-2vnii Client_ID: null
[2014-03-14 17:04:10] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 2117003 Client_ID: null
[2014-03-14 17:13:04] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): bed200 Client_ID: null
[2014-03-14 17:13:05] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): kg16 Client_ID: null
[2014-03-14 17:15:34] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): R63-5-9 Client_ID: null
[2014-03-14 17:18:42] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): bmigmma180 Client_ID: null
[2014-03-14 17:18:42] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): bre71tgs-08-5 Client_ID: null
[2014-03-14 17:18:42] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): kragiserluks Client_ID: null
[2014-03-14 17:19:22] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): barsms107 Client_ID: null
[2014-03-14 17:24:52] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): br70s-08-5 Client_ID: null
[2014-03-14 17:24:52] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): ICU0005-08 Client_ID: null
[2014-03-14 17:26:29] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): sprotig200pdsp Client_ID: 523073319.1394273799
[2014-03-14 17:28:53] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): bmigmma250-1 Client_ID: 506794054.1394621131
[2014-03-14 17:30:37] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): n160 Client_ID: 57663843.1394706125
[2014-03-14 17:30:51] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): wl20-24-175 Client_ID: null
[2014-03-14 17:31:28] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): wl20-40-175 Client_ID: 1991354194.1385617290
[2014-03-14 17:31:29] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): ER535620 Client_ID: 1991354194.1385617290
[2014-03-14 17:31:29] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): IGS0001 Client_ID: 1991354194.1385617290
[2014-03-14 17:31:29] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): IGF0006-24 Client_ID: 1991354194.1385617290
